Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
28,Christian Kirk (JAC),2021,17,5,58,45,45,13,4,0,6,5,0,1,2,1,0,0,0
29,Kendrick Bourne (NE),2021,17,3,47,24,24,23,5,0,4,3,0,0,2,1,0,0,0
30,DeVonta Smith (PHI),2021,17,4,54,41,41,13,4,0,6,4,0,0,2,1,0,0,0
31,Van Jefferson (LAR),2021,17,3,47,34,34,13,5,0,5,3,0,1,2,1,0,0,0
32,A.J. Brown (PHI),2021,13,5,67,48,48,19,8,0,8,6,1,1,3,1,0,0,0
33,Tyler Boyd (CIN),2021,16,4,52,27,27,24,4,0,6,4,0,0,2,1,0,0,0
34,Brandon Aiyuk (SF),2021,17,3,49,28,28,20,8,0,5,4,0,1,2,1,0,0,0
35,K.J. Osborn (MIN),2021,17,3,39,28,28,11,3,0,5,3,0,1,1,1,0,0,0
36,Chase Claypool (CHI),2021,15,4,57,38,38,19,8,0,7,4,0,1,2,1,0,0,0
37,Marvin Jones Jr. (DET),2021,17,4,49,41,41,8,2,0,7,5,0,1,2,1,0,0,0
38,Marquez Callaway (DEN),2021,17,3,41,33,33,8,3,0,5,3,0,1,2,1,0,0,0
39,DeAndre Hopkins (ARI),2021,10,4,57,43,43,14,5,0,6,4,0,1,3,1,0,0,0
40,Tim Patrick (DEN),2021,16,3,46,33,33,13,2,0,5,4,0,1,2,1,0,0,0
41,Jakobi Meyers (LV),2021,16,5,54,40,40,14,3,0,8,6,0,1,2,1,0,0,0
42,Cedrick Wilson Jr. (MIA),2021,14,3,43,25,25,18,6,0,4,3,0,1,2,1,0,0,0
43,A.J. Green (FA),2021,16,3,53,42,42,11,5,0,6,4,0,1,2,1,1,0,0
44,Allen Lazard (NYJ),2021,14,3,37,25,25,12,4,0,4,3,0,1,2,1,0,0,0
45,Russell Gage (TB),2021,13,5,59,40,40,20,7,0,7,6,0,1,2,1,0,0,0
46,Elijah Moore (CLE),2021,11,4,49,30,30,19,5,0,7,4,0,1,2,1,0,0,0
47,Courtland Sutton (DEN),2021,17,3,46,38,38,8,2,0,6,4,0,1,2,1,0,0,0
48,Robert Woods (HOU),2021,9,5,62,40,40,22,8,0,8,5,0,2,3,1,0,0,0
49,Gabe Davis (BUF),2021,15,2,37,27,27,9,2,0,4,3,0,1,2,1,0,0,0
50,Emmanuel Sanders (FA),2021,14,3,45,39,39,6,2,0,5,3,0,1,2,1,0,0,0
51,Chosen Anderson (MIA),2021,17,3,31,21,21,9,2,0,6,4,0,0,1,0,0,0,0
52,Odell Beckham Jr. (BAL),2021,14,3,38,28,28,11,2,0,6,4,0,1,1,1,0,0,0
53,Byron Pringle (FA),2021,16,3,36,24,24,12,4,0,4,3,0,0,1,1,0,0,0
54,Kalif Raymond (DET),2021,16,3,36,20,20,16,2,0,4,3,0,0,1,1,0,0,0
55,Mecole Hardman Jr. (NYJ),2021,17,3,41,11,11,30,9,0,5,4,0,1,1,0,0,0,0
56,Jarvis Landry (FA),2021,12,4,48,25,25,23,7,0,7,5,0,1,2,1,0,0,0
57,Antonio Brown (FA),2021,7,6,78,51,51,27,4,0,9,6,0,0,3,1,0,0,0
58,Cole Beasley (FA),2021,16,5,43,24,24,19,4,0,7,6,0,1,2,0,0,0,0
59,Deonte Harty (BUF),2021,13,3,44,25,25,19,8,0,5,3,0,0,1,0,0,0,0
60,Donovan Peoples-Jones (CLE),2021,14,2,43,32,32,10,4,0,4,3,0,0,2,1,0,0,0
61,Braxton Berrios (MIA),2021,16,3,27,12,12,15,1,0,4,3,0,1,1,0,0,0,0
62,Bryan Edwards (NO),2021,16,2,36,24,24,12,5,0,4,2,0,1,2,1,0,0,0
63,Quez Watkins (PHI),2021,17,3,38,23,23,15,4,0,4,3,0,0,1,1,0,0,0
64,Corey Davis (NYJ),2021,9,4,55,41,41,14,7,0,7,4,1,0,2,1,0,0,0
65,Nick Westbrook-Ikhine (TEN),2021,15,3,32,22,22,10,3,0,4,3,0,1,1,0,0,0,0
66,Nelson Agholor (BAL),2021,15,2,32,24,24,8,2,0,4,3,0,0,1,1,0,0,0
67,Jalen Guyton (LAC),2021,16,2,28,18,18,9,4,0,3,2,0,0,1,0,0,0,0
68,Randall Cobb (NYJ),2021,11,3,34,22,22,13,7,0,4,3,0,1,1,1,0,0,0
69,Laviska Shenault Jr. (CAR),2021,16,4,39,14,14,24,12,1,6,4,1,1,2,0,0,0,0
70,DeVante Parker (NE),2021,10,4,52,41,41,10,5,0,7,5,0,1,2,1,0,0,0
71,DeAndre Carter (LV),2021,17,1,17,13,13,5,1,0,3,2,0,0,1,0,0,0,0
72,Freddie Swain (MIA),2021,17,1,20,8,8,12,3,0,2,2,0,0,1,0,0,0,0
73,Marquez Valdes-Scantling (KC),2021,11,2,39,26,26,13,3,0,5,2,0,1,1,1,0,0,0
74,Henry Ruggs III (FA),2021,7,3,67,51,51,16,5,0,5,4,0,0,2,1,1,1,0
75,Joshua Palmer (LAC),2021,15,2,24,17,17,6,2,0,3,2,0,1,1,0,0,0,0
76,Zay Jones (JAC),2021,15,3,36,25,25,11,3,0,5,3,0,0,1,1,0,0,0
77,Olamide Zaccheaus (PHI),2021,15,2,27,21,21,6,2,0,4,2,0,1,1,0,0,0,0
78,Jamison Crowder (NYG),2021,12,4,37,23,23,14,4,0,6,5,0,1,2,0,0,0,0
79,Jauan Jennings (SF),2021,13,2,22,14,14,8,3,0,3,2,0,1,1,0,0,0,0
80,Rashod Bateman (BAL),2021,12,4,43,29,29,14,4,0,6,4,0,0,2,1,0,0,0
81,Zach Pascal (ARI),2021,16,2,24,16,16,8,2,0,4,3,0,1,1,0,0,0,0
82,Michael Gallup (DAL),2021,9,4,49,36,36,14,5,0,7,4,0,1,2,1,0,0,0
83,DeSean Jackson (FA),2021,14,1,32,20,20,13,1,0,2,2,0,0,1,0,0,0,0
84,Tre'Quan Smith (NO),2021,10,3,38,26,26,11,4,0,5,4,0,1,2,1,0,0,0
85,Rondale Moore (ARI),2021,14,4,31,0,0,32,5,0,5,4,0,1,1,0,0,0,0
86,Kenny Golladay (FA),2021,14,3,37,29,29,9,4,0,5,3,0,1,2,0,0,0,0
87,Jamal Agnew (JAC),2021,12,2,19,9,9,10,3,0,3,2,0,0,1,0,0,0,0
88,Josh Reynolds (DET),2021,11,3,36,25,25,11,5,0,4,3,0,1,2,1,0,0,0
89,T.Y. Hilton (FA),2021,10,2,33,26,26,7,2,0,4,3,0,0,1,0,0,0,0
90,Keelan Cole Sr. (LV),2021,14,2,32,26,26,6,2,0,4,2,0,0,1,1,0,0,0
91,Nico Collins (HOU),2021,14,2,32,22,22,10,2,0,4,2,0,0,1,1,0,0,0
92,Laquon Treadwell (FA),2021,12,3,36,26,26,11,3,0,4,3,0,1,1,1,0,0,0
93,Julio Jones (FA),2021,10,3,43,32,32,11,5,0,5,3,0,1,2,0,0,0,0
94,Allen Robinson II (PIT),2021,12,3,34,26,26,8,2,0,6,3,0,0,1,0,0,0,0
95,Jerry Jeudy (DEN),2021,10,4,47,27,27,19,2,0,6,4,0,0,2,1,0,0,0
96,Mack Hollins (ATL),2021,16,1,14,12,12,2,1,0,2,1,0,1,0,0,0,0,0
97,Jalen Reagor (MIN),2021,17,2,18,9,9,9,3,0,3,2,0,0,1,0,0,0,0
98,Danny Amendola (FA),2021,8,3,31,18,18,13,2,0,5,3,0,0,1,1,0,0,0
99,Demarcus Robinson (FA),2021,15,2,18,13,13,4,1,0,3,2,0,0,1,0,0,0,0
100,Devin Duvernay (BAL),2021,16,2,17,8,8,9,2,0,3,2,0,1,1,0,0,0,0
101,Sammy Watkins (FA),2021,11,2,36,27,27,9,3,0,4,3,1,0,1,1,0,0,0
102,Kadarius Toney (KC),2021,9,4,47,21,21,25,7,0,6,5,0,1,2,1,0,0,0
103,Chris Conley (SF),2021,14,2,23,14,14,9,3,0,3,2,0,0,1,0,0,0,0
104,Darius Slayton (NYG),2021,13,2,26,21,21,5,1,0,4,3,0,0,1,0,0,0,0
105,James Washington (NO),2021,15,2,19,14,14,5,2,0,3,2,0,1,1,0,0,0,0
106,Sterling Shepard (NYG),2021,7,5,52,36,36,16,8,0,8,6,1,1,2,1,0,0,0
107,Calvin Ridley (JAC),2021,5,6,56,38,38,18,7,0,10,8,1,2,2,1,0,0,0
108,Damiere Byrd (CAR),2021,11,2,30,19,19,11,1,0,3,3,0,0,2,0,0,0,0
109,Antoine Wesley (FA),2021,8,2,26,18,18,8,4,0,4,3,0,1,1,1,0,0,0
110,Adam Humphries (FA),2021,17,2,23,14,14,9,2,0,4,3,0,0,1,0,0,0,0
111,Marquise Goodwin (CLE),2021,14,1,22,16,16,6,2,0,3,2,0,0,1,0,0,0,0
112,Lil'Jordan Humphrey (DEN),2021,8,2,31,19,19,13,3,0,2,2,0,0,1,1,0,0,0
113,Tyler Johnson (FA),2021,16,2,23,14,14,9,3,0,3,3,0,1,1,0,0,0,0
114,Chester Rogers (FA),2021,16,2,19,12,12,6,2,0,3,2,0,0,1,0,0,0,0
115,Chris Moore (TEN),2021,10,2,23,8,8,15,3,0,2,2,0,0,1,0,0,0,0
116,Cyril Grayson Jr. (FA),2021,3,3,71,47,47,23,0,0,4,3,0,0,2,1,1,1,1
117,Quintez Cephus (DET),2021,5,3,41,22,22,19,6,0,4,3,0,1,1,1,0,0,0
118,Cam Sims (LV),2021,12,1,18,14,14,4,0,0,2,1,0,0,1,0,0,0,0
119,Rashard Higgins (FA),2021,12,2,23,19,19,4,0,0,4,2,0,0,1,0,0,0,0
120,Malik Turner (IND),2021,7,2,21,11,11,11,9,0,2,2,0,1,1,0,0,0,0
121,Isaiah McKenzie (IND),2021,15,1,12,6,6,5,2,0,2,2,0,0,0,0,0,0,0
122,Ashton Dulin (IND),2021,16,1,11,8,8,3,0,0,1,1,0,0,0,0,0,0,0
123,Brandon Zylstra (FA),2021,12,2,21,11,11,10,3,0,2,2,0,0,1,0,0,0,0
124,John Ross (KC),2021,9,1,25,15,15,4,2,0,2,1,0,0,1,0,0,0,0
125,Jakeem Grant Sr. (CLE),2021,15,1,9,2,2,7,4,0,1,1,0,0,0,0,0,0,0
126,Isaiah Ford (FA),2021,9,1,18,11,11,7,3,0,2,1,0,0,1,0,0,0,0
127,Greg Ward (PHI),2021,10,1,10,8,8,2,0,0,1,1,0,1,0,0,0,0,0
128,DJ Chark Jr. (CAR),2021,3,2,51,43,43,8,4,0,7,3,0,0,2,1,0,0,0
129,Tavon Austin (FA),2021,12,2,18,13,13,5,3,0,3,2,0,0,1,0,0,0,0
130,Ray-Ray McCloud III (SF),2021,16,2,17,10,10,7,2,0,4,3,0,1,1,0,0,0,0
131,Ihmir Smith-Marsette (KC),2021,6,1,19,17,17,3,0,0,1,1,0,0,1,0,0,0,0
132,Kendall Hinton (DEN),2021,11,1,16,11,11,5,1,0,2,1,0,0,1,0,0,0,0
133,Anthony Schwartz (CLE),2021,13,1,10,10,10,1,0,0,2,1,0,0,0,0,0,0,0
134,Tajae Sharpe (FA),2021,14,2,16,12,12,5,2,0,3,2,0,0,1,0,0,0,0
135,Albert Wilson (FA),2021,10,3,21,7,7,14,5,0,4,3,0,0,1,0,0,0,0
136,Breshad Perriman (FA),2021,5,2,33,13,13,20,3,0,4,2,0,1,1,1,0,0,0
137,Parris Campbell (NYG),2021,6,2,27,24,24,3,0,0,3,2,0,0,1,1,0,0,0
138,James Proche II (BAL),2021,7,2,29,21,21,8,2,0,3,2,0,0,1,0,0,0,0
139,JuJu Smith-Schuster (NE),2021,5,3,26,12,12,14,6,1,6,3,0,0,1,0,0,0,0
140,Noah Brown (HOU),2021,10,2,18,12,12,7,3,0,3,2,0,0,1,0,0,0,0
141,Dee Eskridge (SEA),2021,8,1,8,4,4,4,1,0,3,2,0,0,0,0,0,0,0
142,Mohamed Sanu Sr. (FA),2021,8,2,22,17,17,6,2,0,3,2,0,0,1,0,0,0,0
143,KhaDarel Hodge (ATL),2021,12,1,13,10,10,3,1,0,2,1,0,0,1,0,0,0,0
144,N'Keal Harry (FA),2021,10,1,18,16,16,3,1,0,2,1,0,0,1,0,0,0,0
145,Kristian Wilkerson (LV),2021,1,4,42,37,37,5,3,1,8,5,1,1,1,1,0,0,0
146,Dyami Brown (WAS),2021,10,1,17,13,13,3,1,0,3,1,0,0,1,0,0,0,0
147,Terrace Marshall Jr. (CAR),2021,12,1,12,6,6,5,1,0,3,2,0,0,0,0,0,0,0
148,Marcus Johnson (FA),2021,7,1,23,9,9,14,4,0,3,1,0,0,1,0,0,0,0
149,Dante Pettis (CHI),2021,3,3,29,16,16,13,3,0,5,4,1,1,1,0,0,0,0
150,Trent Sherfield (BUF),2021,12,1,7,5,5,2,0,0,2,1,0,0,0,0,0,0,0
151,Scotty Miller (ATL),2021,6,1,6,5,5,2,1,0,2,1,0,0,0,0,0,0,0
152,Denzel Mims (NYJ),2021,10,1,13,8,8,5,1,0,2,1,0,0,1,0,0,0,0
153,Ben Skowronek (LAR),2021,12,1,11,7,7,4,1,0,2,1,0,0,1,0,0,0,0
154,Kenny Stills (FA),2021,7,1,10,8,8,1,1,0,3,1,0,0,0,0,0,0,0
155,Tom Kennedy (DET),2021,7,1,8,5,5,2,1,0,1,1,0,0,0,0,0,0,0
156,Equanimeous St. Brown (CHI),2021,12,1,8,3,3,5,1,0,1,1,0,0,0,0,0,0,0
157,Jeff Smith (NYG),2021,9,1,13,11,11,2,1,0,2,1,0,0,1,0,0,0,0
158,Phillip Dorsett II (LV),2021,5,1,22,17,17,5,1,0,3,1,0,0,1,0,0,0,0
159,Dez Fitzpatrick (PIT),2021,3,2,16,15,15,1,0,0,3,2,0,1,1,0,0,0,0
160,Collin Johnson (NYG),2021,8,1,13,11,11,2,1,0,3,2,0,0,1,0,0,0,0
161,Trinity Benson (DET),2021,7,1,15,7,7,7,2,0,3,2,0,0,0,0,0,0,0
162,Chris Hogan (FA),2021,5,1,8,4,4,4,0,0,2,1,0,0,0,0,0,0,0
163,Shi Smith (CAR),2021,5,1,21,7,7,14,1,0,2,1,0,0,1,0,0,0,0
164,Auden Tate (ARI),2021,4,1,10,5,5,5,2,1,1,1,0,0,1,0,0,0,0
165,Josh Gordon (FA),2021,9,1,4,3,3,1,0,0,2,1,0,0,0,0,0,0,0
166,Cameron Batson (FA),2021,4,1,4,4,4,0,0,0,1,1,0,1,0,0,0,0,0
167,Anthony Miller (PIT),2021,3,2,8,5,5,3,1,0,4,3,0,0,0,0,0,0,0
168,Dezmon Patmon (BUF),2021,4,1,5,5,5,1,0,0,1,1,0,0,0,0,0,0,0
169,Preston Williams (FA),2021,6,1,12,6,6,6,2,0,3,2,1,1,0,0,0,0,0
170,KJ Hamler (DEN),2021,3,2,25,19,19,5,0,0,3,2,0,0,1,1,0,0,0
171,Dede Westbrook (FA),2021,15,1,5,3,3,1,0,0,1,1,0,0,0,0,0,0,0
172,Ja'Marcus Bradley (PIT),2021,4,1,16,12,12,4,1,0,1,1,0,0,1,0,0,0,0
173,Dax Milne (WAS),2021,9,1,9,5,5,4,0,0,2,1,0,0,0,0,0,0,0
174,Penny Hart (ATL),2021,12,1,5,2,2,3,0,0,1,1,0,0,0,0,0,0,0
175,C.J. Board (FA),2021,6,1,9,6,6,2,0,0,1,1,0,0,0,0,0,0,0
176,Jason Moore Jr. (FA),2021,1,3,56,30,30,26,4,0,4,3,0,0,3,1,0,0,0
177,Amari Rodgers (HOU),2021,16,0,3,1,1,2,1,0,1,0,0,0,0,0,0,0,0
178,Alex Erickson (FA),2021,17,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
179,Jaelon Darden (CLE),2021,9,1,5,2,2,3,0,0,1,1,0,0,0,0,0,0,0
180,Mike Thomas (BAL),2021,7,1,7,6,6,2,1,0,2,1,0,0,0,0,0,0,0
181,William Fuller V (FA),2021,2,2,13,8,8,5,2,1,4,2,0,0,1,0,0,0,0
182,Greg Dortch (ARI),2021,5,1,3,-3,-3,6,1,0,1,1,0,0,0,0,0,0,0
183,Willie Snead IV (SF),2021,7,1,5,4,4,2,1,0,1,1,0,0,0,0,0,0,0
184,Kevin White (FA),2021,4,0,10,7,7,2,1,0,1,1,0,0,0,0,0,0,0
185,Juwann Winfree (IND),2021,5,2,12,5,5,6,2,0,3,2,0,1,1,0,0,0,0
186,Curtis Samuel (WAS),2021,5,1,5,-3,-3,8,1,0,2,1,0,0,0,0,0,0,0
187,J.J. Arcega-Whiteside (ATL),2021,7,0,5,1,1,4,0,0,1,1,0,0,0,0,0,0,0
188,D.J. Montgomery (FA),2021,2,2,18,11,11,8,0,0,3,2,0,1,1,0,0,0,0
189,Pharoh Cooper (FA),2021,8,1,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0
190,Trenton Irwin (CIN),2021,5,0,7,1,1,6,0,0,1,0,0,0,0,0,0,0,0
191,Cody Hollister (TEN),2021,3,1,11,5,5,6,4,0,2,1,0,1,0,0,0,0,0
192,Cody White (PIT),2021,6,1,6,3,3,2,1,0,1,1,0,0,0,0,0,0,0
193,KJ Hill Jr. (FA),2021,6,1,5,3,3,2,0,0,1,1,0,0,0,0,0,0,0
194,Jake Kumerow (FA),2021,7,0,4,3,3,1,1,0,1,0,0,0,0,0,0,0,0
195,Christian Blake (FA),2021,10,0,3,2,2,0,0,0,1,1,0,0,0,0,0,0,0
196,Marcus Kemp (WAS),2021,12,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
197,Dazz Newsome (SF),2021,3,1,8,3,3,5,2,0,2,1,0,0,1,0,0,0,0
198,Tylan Wallace (BAL),2021,10,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0
199,David Sills V (NYG),2021,4,1,4,4,4,1,0,0,2,1,0,0,0,0,0,0,0
200,Keith Kirkwood (NO),2021,3,1,6,0,0,5,1,0,2,1,0,0,0,0,0,0,0
201,Tyron Johnson (FA),2021,7,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
202,Stanley Morgan Jr. (CIN),2021,11,0,1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0
203,Frank Darby (ATL),2021,4,0,4,1,1,3,1,0,1,1,0,0,0,0,0,0,0
204,Racey McMath (TEN),2021,6,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
205,Travis Benjamin (FA),2021,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
206,Diontae Spencer (NYJ),2021,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
