Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
1,Cooper Kupp (LAR),2021,17,9,115,65,65,50,15,1,11,9,0,2,4,2,1,1,0
2,Deebo Samuel (SF),2021,16,5,88,39,39,53,18,1,8,6,1,1,3,2,1,1,0
3,Ja'Marr Chase (CIN),2021,17,5,86,47,47,38,15,0,8,6,1,1,3,1,1,0,0
4,Justin Jefferson (MIN),2021,17,6,95,67,67,28,9,0,10,7,0,1,4,2,1,0,0
5,Davante Adams (LV),2021,16,8,97,60,60,37,9,0,11,8,0,2,4,1,1,0,0
6,Mike Evans (TB),2021,16,5,65,49,49,16,4,0,7,5,0,1,3,1,0,0,0
7,Tyreek Hill (MIA),2021,17,7,73,47,47,26,7,1,9,7,0,1,3,1,0,0,0
8,Stefon Diggs (BUF),2021,17,6,72,53,53,19,9,0,10,7,0,2,3,1,0,0,0
9,Mike Williams (LAC),2021,16,5,72,46,46,26,9,0,8,5,0,1,3,1,1,1,0
10,DK Metcalf (SEA),2021,17,4,57,38,38,19,9,0,8,5,0,1,2,1,0,0,0
11,Tyler Lockett (SEA),2021,16,5,73,56,56,17,4,0,7,5,0,0,2,1,1,0,0
12,Diontae Johnson (PIT),2021,16,7,73,40,40,33,6,1,11,7,0,1,3,1,0,0,0
13,Hunter Renfrow (LV),2021,17,6,61,34,34,27,7,0,8,6,0,1,2,1,0,0,0
14,CeeDee Lamb (DAL),2021,16,5,69,41,41,28,12,1,8,6,1,1,3,1,1,0,0
15,Keenan Allen (LAC),2021,16,7,71,50,50,21,5,0,10,7,1,1,3,1,0,0,0
16,Michael Pittman Jr. (IND),2021,17,5,64,43,43,20,6,0,8,6,0,1,3,1,0,0,0
17,Tee Higgins (CIN),2021,14,5,78,57,57,21,7,0,8,6,0,1,4,1,0,0,0
18,DJ Moore (CHI),2021,17,5,68,43,43,25,7,0,10,6,1,1,3,1,0,0,0
19,Chris Godwin (TB),2021,14,7,79,37,37,42,14,0,9,7,0,2,3,1,0,0,0
20,Jaylen Waddle (MIA),2021,16,7,63,36,36,27,6,0,9,7,1,1,2,1,0,0,0
21,Brandin Cooks (DAL),2021,16,6,65,42,42,22,4,0,8,6,0,1,3,1,0,0,0
22,Darnell Mooney (CHI),2021,17,5,62,40,40,22,7,0,8,5,1,1,2,1,0,0,0
23,Amon-Ra St. Brown (DET),2021,16,6,57,31,31,27,6,0,7,6,0,1,2,1,0,0,0
24,Terry McLaurin (WAS),2021,17,5,62,43,43,19,7,0,8,5,0,1,3,1,1,0,0
25,Marquise Brown (ARI),2021,16,6,63,39,39,24,6,0,9,6,1,1,3,1,0,0,0
26,Amari Cooper (CLE),2021,15,5,58,42,42,16,5,0,7,5,0,1,2,1,0,0,0
27,Adam Thielen (CAR),2021,13,5,56,37,37,18,5,0,7,5,0,1,2,1,0,0,0
