Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
134,Gunner Olszewski (PIT),2020,13,0,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0
135,Kenny Stills (FA),2020,10,1,14,13,13,2,1,0,2,1,0,0,1,0,0,0,0
136,Isaiah Wright (FA),2020,14,2,14,4,4,10,3,0,3,2,0,0,0,0,0,0,0
137,John Hightower (LAC),2020,13,1,13,9,9,4,2,0,2,1,0,0,0,0,0,0,0
138,Equanimeous St. Brown (CHI),2020,12,1,10,5,5,5,2,0,1,1,0,0,1,0,0,0,0
139,Kalif Raymond (DET),2020,15,1,12,10,10,3,1,0,1,1,0,0,0,0,0,0,0
140,KhaDarel Hodge (ATL),2020,9,1,20,17,17,3,1,0,2,1,0,0,1,0,0,0,0
141,Cameron Batson (FA),2020,12,1,8,5,5,4,1,0,1,1,0,0,0,0,0,0,0
142,Brandon Powell (MIN),2020,15,1,5,2,2,2,0,0,1,1,0,0,0,0,0,0,0
143,Alshon Jeffery (FA),2020,7,1,16,13,13,4,1,0,2,1,0,0,1,0,0,0,0
144,Mike Thomas (BAL),2020,14,1,9,7,7,2,1,0,2,1,0,0,0,0,0,0,0
145,KeeSean Johnson (BUF),2020,8,2,22,15,15,6,2,0,3,2,0,0,1,0,0,0,0
146,Laquon Treadwell (FA),2020,5,1,10,7,7,3,2,0,1,1,0,1,0,0,0,0,0
147,Jeff Smith (NYG),2020,12,1,14,10,10,4,1,0,3,2,0,0,1,0,0,0,0
148,Dez Bryant (FA),2020,6,1,8,2,2,6,1,0,2,1,0,0,0,0,0,0,0
149,Quez Watkins (PHI),2020,6,1,18,8,8,10,1,0,2,2,0,0,1,0,0,0,0
150,Jamal Agnew (JAC),2020,14,1,6,-1,-1,7,2,0,1,1,0,0,0,0,0,0,0
151,Noah Brown (HOU),2020,16,1,10,7,7,3,1,0,2,1,0,0,0,0,0,0,0
152,Malcolm Perry (FA),2020,9,1,10,7,7,4,0,0,1,1,0,0,0,0,0,0,0
153,Auden Tate (ARI),2020,9,2,17,10,10,6,2,0,2,2,0,0,1,0,0,0,0
154,Christian Blake (FA),2020,16,1,9,7,7,2,0,0,1,1,0,0,0,0,0,0,0
155,Malik Taylor (NYJ),2020,15,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0
156,DeMichael Harris (FA),2020,7,1,11,2,2,9,1,0,1,1,0,0,1,0,0,0,0
157,Ray-Ray McCloud III (SF),2020,16,1,5,-2,-2,7,1,0,1,1,0,0,0,0,0,0,0
158,Chris Hogan (FA),2020,5,3,24,16,16,7,2,0,5,3,0,0,1,0,0,0,0
159,Dante Pettis (CHI),2020,7,1,11,10,10,1,0,0,1,1,0,0,1,0,0,0,0
160,Javon Wims (ARI),2020,13,0,4,3,3,0,0,0,1,0,0,0,0,0,0,0,0
161,Alex Erickson (FA),2020,16,1,9,5,5,4,1,0,1,1,0,0,0,0,0,0,0
162,Lil'Jordan Humphrey (DEN),2020,3,1,15,12,12,3,2,0,2,1,0,0,1,0,0,0,0
163,J.J. Arcega-Whiteside (ATL),2020,8,1,11,10,10,1,0,0,1,1,0,0,0,0,0,0,0
164,Diontae Spencer (NYJ),2020,11,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0
165,C.J. Board (FA),2020,14,1,7,5,5,2,1,0,1,1,0,0,0,0,0,0,0
166,Justin Watson (KC),2020,11,1,9,7,7,2,0,0,1,1,0,0,0,0,0,0,0
167,Austin Mack (FA),2020,11,1,8,5,5,3,1,0,1,1,0,0,0,0,0,0,0
168,Austin Carr (FA),2020,6,1,5,3,3,2,1,0,1,1,0,0,0,0,0,0,0
169,Parris Campbell (NYG),2020,2,3,36,27,27,9,2,0,5,3,0,0,2,1,0,0,0
170,Trent Taylor (CIN),2020,12,1,7,4,4,4,1,0,2,1,0,1,0,0,0,0,0
171,Pharoh Cooper (FA),2020,16,0,5,2,2,2,0,0,1,0,0,0,0,0,0,0,0
172,Courtland Sutton (DEN),2020,1,3,66,59,59,7,0,0,6,4,1,0,2,2,1,1,0
173,Ashton Dulin (IND),2020,13,0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0
174,Damion Ratley (FA),2020,5,1,13,11,11,2,1,0,2,1,0,1,0,0,0,0,0
175,Tyrie Cleveland (PHI),2020,10,1,6,5,5,2,1,0,1,1,0,0,0,0,0,0,0
176,Ja'Marcus Bradley (PIT),2020,3,2,20,16,16,4,1,0,4,2,0,0,1,0,0,0,0
177,Steven Mitchell Jr. (FA),2020,6,1,10,8,8,2,0,0,1,1,0,0,1,0,0,0,0
178,Jaydon Mickens (NYG),2020,10,1,6,3,3,3,1,0,1,1,0,0,0,0,0,0,0
179,KJ Hill Jr. (FA),2020,15,0,5,4,4,1,0,0,1,1,0,0,0,0,0,0,0
180,Nick Westbrook-Ikhine (TEN),2020,14,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
181,Trent Sherfield (BUF),2020,15,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
182,River Cracraft (MIA),2020,9,1,5,3,3,1,0,0,1,1,0,0,0,0,0,0,0
183,Ted Ginn Jr. (FA),2020,5,1,8,6,6,2,0,0,1,1,0,0,0,0,0,0,0
184,Riley Ridley (FA),2020,5,1,8,7,7,1,0,0,1,1,0,0,0,0,0,0,0
185,Robert Foster (FA),2020,4,1,9,1,1,8,8,0,2,1,0,0,0,0,0,0,0
186,Brandon Zylstra (FA),2020,16,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
187,Terry Godwin (FA),2020,3,1,11,10,10,1,1,0,2,1,0,0,0,0,0,0,0
188,Lawrence Cager (NYG),2020,2,1,18,11,11,7,0,0,3,1,0,1,1,0,0,0,0
189,Seth Roberts (FA),2020,7,1,4,1,1,3,1,0,1,1,0,0,0,0,0,0,0
190,Josh Malone (FA),2020,4,1,4,2,2,2,1,0,2,1,0,0,0,0,0,0,0
191,Darrius Shepherd (FA),2020,8,1,6,4,4,2,0,0,1,1,0,0,0,0,0,0,0
192,Antonio Gandy-Golden (FA),2020,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
193,Antonio Callaway (DAL),2020,5,0,4,3,3,1,0,0,1,0,0,0,0,0,0,0,0
194,Deontay Burnett (FA),2020,2,2,10,8,8,2,1,0,2,2,0,1,1,0,0,0,0
195,John Ross (KC),2020,3,1,6,5,5,1,1,0,2,1,0,0,0,0,0,0,0
196,Bennie Fowler III (FA),2020,5,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0
197,Tavon Austin (FA),2020,4,1,5,-6,-6,11,0,0,1,1,0,0,0,0,0,0,0
198,Andre Roberts (FA),2020,15,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
