Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
1,Davante Adams (LV),2020,14,8,98,56,56,43,11,0,11,8,0,2,4,1,1,0,0
2,Tyreek Hill (MIA),2020,15,6,85,56,56,29,8,1,9,6,0,1,3,1,1,0,0
3,Stefon Diggs (BUF),2020,16,8,96,67,67,29,11,0,10,9,1,1,4,1,0,0,0
4,Calvin Ridley (JAC),2020,15,6,92,73,73,18,5,0,10,6,0,1,4,2,1,0,0
5,DK Metcalf (SEA),2020,16,5,81,59,59,23,9,1,8,6,1,1,3,1,1,0,0
6,Justin Jefferson (MIN),2020,16,6,88,59,59,29,13,1,8,6,0,1,4,1,1,0,0
7,Adam Thielen (CAR),2020,15,5,62,45,45,16,5,0,7,6,0,1,2,1,0,0,0
8,Mike Evans (TB),2020,16,4,63,47,47,16,5,0,7,5,0,1,3,1,0,0,0
9,A.J. Brown (PHI),2020,14,5,77,46,46,31,15,1,8,5,0,1,3,1,1,0,0
10,DeAndre Hopkins (ARI),2020,16,7,88,55,55,33,11,1,10,7,0,1,4,1,1,0,0
11,Tyler Lockett (SEA),2020,16,6,66,45,45,20,2,0,8,7,1,1,3,1,0,0,0
12,Allen Robinson II (PIT),2020,16,6,78,58,58,20,7,0,9,7,0,1,3,1,0,0,0
13,Robert Woods (HOU),2020,16,6,59,27,27,31,5,0,8,6,0,1,2,1,0,0,0
14,Chase Claypool (CHI),2020,16,4,55,34,34,21,6,0,7,4,0,1,2,1,1,0,0
15,Marvin Jones Jr. (DET),2020,16,5,61,49,49,12,4,0,7,5,0,1,3,1,0,0,0
16,Brandin Cooks (DAL),2020,15,5,77,53,53,23,6,0,8,6,0,1,3,1,0,0,0
17,DJ Moore (CHI),2020,15,4,80,54,54,25,9,0,8,5,0,1,3,1,1,0,0
18,Keenan Allen (LAC),2020,14,7,71,41,41,30,10,0,11,8,0,1,3,1,0,0,0
19,Amari Cooper (CLE),2020,16,6,70,43,43,26,11,0,8,6,0,1,3,1,0,0,0
20,CeeDee Lamb (DAL),2020,16,5,58,39,39,19,4,0,7,5,1,1,2,1,0,0,0
21,Nelson Agholor (BAL),2020,16,3,56,42,42,14,3,0,5,3,0,1,2,1,0,0,0
22,JuJu Smith-Schuster (NE),2020,16,6,52,26,26,26,7,0,8,6,0,1,2,1,0,0,0
23,Terry McLaurin (WAS),2020,15,6,75,43,43,31,13,1,9,6,0,1,3,1,0,0,0
24,William Fuller V (FA),2020,11,5,80,53,53,26,6,0,7,5,0,1,3,1,1,0,0
25,Curtis Samuel (WAS),2020,15,5,57,36,36,21,7,0,6,5,0,1,3,1,0,0,0
26,Diontae Johnson (PIT),2020,15,6,62,36,36,25,10,0,10,7,1,1,2,1,0,0,0
27,Chosen Anderson (MIA),2020,16,6,69,37,37,31,8,0,9,6,0,1,3,1,0,0,0
28,Tee Higgins (CIN),2020,16,4,57,38,38,19,7,0,7,5,1,1,2,1,0,0,0
29,Corey Davis (NYJ),2020,14,5,70,50,50,21,6,0,7,5,0,1,3,1,0,0,0
30,Chris Godwin (TB),2020,12,5,70,46,46,24,12,0,7,6,0,1,3,1,1,0,0
31,Cole Beasley (FA),2020,15,5,64,41,41,23,6,0,7,6,0,1,3,1,0,0,0
32,Marquise Brown (ARI),2020,16,4,48,31,31,17,4,0,6,4,0,1,2,1,0,0,0
33,Brandon Aiyuk (SF),2020,12,5,62,38,38,24,7,1,8,5,0,1,3,1,0,0,0
34,Cooper Kupp (LAR),2020,15,6,65,31,31,34,12,1,8,7,0,1,2,1,0,0,0
35,Jarvis Landry (FA),2020,15,5,56,33,33,23,7,0,7,5,0,1,3,1,0,0,0
36,Michael Gallup (DAL),2020,16,4,53,37,37,15,5,0,7,4,0,1,3,1,0,0,0
37,Tyler Boyd (CIN),2020,15,5,56,33,33,23,5,0,7,5,0,1,3,0,0,0,0
38,Jamison Crowder (NYG),2020,12,5,58,32,32,26,12,0,7,5,0,1,2,1,0,0,0
39,Tim Patrick (DEN),2020,15,3,49,34,34,16,5,0,5,3,0,1,2,1,0,0,0
40,Russell Gage (TB),2020,16,5,49,32,32,18,6,0,7,5,0,1,2,0,0,0,0
41,T.Y. Hilton (FA),2020,15,4,51,38,38,13,4,0,6,4,0,1,2,1,0,0,0
42,Mike Williams (LAC),2020,15,3,50,40,40,11,4,0,6,3,0,1,2,1,0,0,0
43,Jerry Jeudy (DEN),2020,16,3,54,36,36,18,4,0,7,4,1,0,2,1,0,0,0
44,Marquez Valdes-Scantling (KC),2020,16,2,43,27,27,16,2,0,4,3,0,0,1,1,1,0,0
45,Emmanuel Sanders (FA),2020,14,4,52,40,40,12,3,0,6,5,0,1,2,1,0,0,0
46,DeVante Parker (NE),2020,14,5,57,44,44,13,6,0,7,5,0,1,3,1,0,0,0
47,Gabe Davis (BUF),2020,16,2,37,29,29,8,3,0,4,2,0,1,2,1,0,0,0
48,DJ Chark Jr. (CAR),2020,13,4,54,42,42,13,3,0,7,4,0,1,2,1,0,0,0
49,Keelan Cole Sr. (LV),2020,16,3,40,29,29,11,4,0,6,4,0,1,2,1,0,0,0
50,Laviska Shenault Jr. (CAR),2020,14,4,43,22,22,21,8,1,6,4,0,1,2,1,0,0,0
51,Christian Kirk (JAC),2020,14,3,44,32,32,13,2,0,6,4,0,1,1,1,0,0,0
52,Sterling Shepard (NYG),2020,12,6,55,38,38,17,4,0,8,6,0,1,3,1,0,0,0
53,Julio Jones (FA),2020,9,6,86,60,60,26,10,1,8,6,0,1,4,2,0,0,0
54,Zach Pascal (ARI),2020,16,3,39,25,25,15,4,0,4,3,0,1,2,1,0,0,0
55,Darnell Mooney (CHI),2020,16,4,39,24,24,16,5,1,6,4,0,1,2,0,0,0,0
56,Darius Slayton (NYG),2020,16,3,47,37,37,10,2,0,6,4,0,1,2,1,0,0,0
57,Mecole Hardman Jr. (NYJ),2020,16,3,35,17,17,18,3,0,4,3,1,0,1,0,0,0,0
58,Rashard Higgins (FA),2020,13,3,46,40,40,6,1,0,4,3,0,1,2,1,0,0,0
59,David Moore (TB),2020,16,2,26,16,16,11,2,0,3,2,0,1,1,0,0,0,0
60,Jakobi Meyers (LV),2020,14,4,52,37,37,15,3,0,6,5,0,0,2,1,0,0,0
61,Kendrick Bourne (NE),2020,15,3,44,30,30,15,6,0,5,4,0,1,2,0,0,0,0
62,Greg Ward (PHI),2020,16,3,26,16,16,10,3,0,5,3,0,0,1,0,0,0,0
63,Travis Fulgham (FA),2020,13,3,41,34,34,8,4,0,5,3,0,1,2,0,0,0,0
64,Hunter Renfrow (LV),2020,16,4,41,20,20,21,7,0,5,4,0,0,2,0,0,0,0
65,Josh Reynolds (DET),2020,16,3,39,25,25,14,5,0,5,3,0,0,2,1,0,0,0
66,Antonio Brown (FA),2020,8,6,60,29,29,31,9,0,8,6,0,1,3,1,0,0,0
67,Isaiah McKenzie (IND),2020,16,2,18,6,6,11,2,0,2,2,0,0,1,0,0,0,0
68,Scotty Miller (ATL),2020,16,2,31,25,25,6,2,0,3,2,0,0,1,0,0,0,0
69,James Washington (NO),2020,16,2,25,15,15,9,5,0,4,2,0,0,1,0,0,0,0
70,Tre'Quan Smith (NO),2020,14,2,32,22,22,10,4,0,4,3,0,0,1,1,0,0,0
71,Breshad Perriman (FA),2020,12,3,42,29,29,13,3,0,5,3,0,1,2,1,0,0,0
72,Jalen Guyton (LAC),2020,16,2,32,21,21,11,1,0,3,2,0,0,1,0,0,0,0
73,Damiere Byrd (CAR),2020,16,3,38,27,27,11,2,0,5,3,0,0,1,1,0,0,0
74,Allen Lazard (NYJ),2020,10,3,45,26,26,20,4,0,5,4,1,1,2,1,0,0,0
75,A.J. Green (FA),2020,16,3,33,27,27,6,3,0,7,3,0,1,2,0,0,0,0
76,Odell Beckham Jr. (BAL),2020,7,3,46,39,39,7,3,0,6,4,0,1,2,0,0,0,0
77,John Brown (FA),2020,9,4,51,31,31,20,4,0,6,4,0,1,2,1,0,0,0
78,Demarcus Robinson (FA),2020,15,3,31,20,20,12,4,0,4,3,0,0,1,0,0,0,0
79,Randall Cobb (NYJ),2020,10,4,44,28,28,17,2,0,5,4,0,1,2,1,0,0,0
80,Willie Snead IV (SF),2020,13,3,33,19,19,14,5,1,4,3,0,1,1,1,0,0,0
81,Danny Amendola (FA),2020,14,3,43,22,22,21,5,0,5,3,0,0,2,1,0,0,0
82,Braxton Berrios (MIA),2020,16,2,25,11,11,14,4,0,3,3,0,0,1,0,0,0,0
83,KJ Hamler (DEN),2020,13,2,29,20,20,10,2,0,4,3,1,0,1,0,0,0,0
84,Anthony Miller (PIT),2020,16,3,30,21,21,9,2,0,5,3,0,1,1,0,0,0,0
85,Tyron Johnson (FA),2020,12,2,33,28,28,5,3,0,2,2,0,0,1,1,0,0,0
86,Michael Pittman Jr. (IND),2020,13,3,39,16,16,23,6,0,5,3,0,1,2,0,0,0,0
87,Henry Ruggs III (FA),2020,13,2,35,24,24,11,2,0,3,2,0,0,1,1,0,0,0
88,Chris Conley (SF),2020,15,3,31,19,19,12,5,0,4,3,0,0,1,0,0,0,0
89,Preston Williams (FA),2020,8,2,36,31,31,5,1,0,4,3,0,1,1,1,0,0,0
90,Jalen Reagor (MIN),2020,11,3,36,19,19,17,3,0,5,3,0,0,2,0,0,0,0
91,Cam Sims (LV),2020,16,2,30,14,14,16,5,0,3,2,0,0,1,1,0,0,0
92,Keke Coutee (FA),2020,8,4,50,32,32,19,5,1,5,4,0,1,2,0,0,0,0
93,Golden Tate (FA),2020,12,3,32,26,26,7,2,0,4,3,0,0,2,0,0,0,0
94,Sammy Watkins (FA),2020,10,4,42,26,26,16,4,0,6,4,0,1,2,0,0,0,0
95,Jakeem Grant Sr. (CLE),2020,14,3,27,15,15,12,5,1,4,3,0,0,1,0,0,0,0
96,Miles Boykin (PIT),2020,16,1,17,11,11,5,1,0,2,1,0,0,1,0,0,0,0
97,Deebo Samuel (SF),2020,7,5,56,-1,-1,57,26,1,6,5,0,0,2,1,0,0,0
98,Quintez Cephus (DET),2020,13,2,27,20,20,7,1,0,3,2,0,0,1,1,0,0,0
99,Larry Fitzgerald (FA),2020,13,4,31,17,17,14,3,0,6,4,0,1,1,0,0,0,0
100,Kenny Golladay (FA),2020,5,4,68,60,60,8,1,0,6,4,0,1,3,1,0,0,0
101,Donovan Peoples-Jones (CLE),2020,12,1,25,19,19,6,0,0,2,1,0,0,1,0,0,0,0
102,Michael Thomas (NO),2020,7,6,63,51,51,12,5,0,8,6,0,1,3,1,0,0,0
103,Marvin Hall (FA),2020,12,2,25,20,20,5,1,0,3,2,0,0,1,0,0,0,0
104,Richie James Jr. (KC),2020,11,2,36,19,19,17,3,0,3,2,0,0,1,1,0,0,0
105,Collin Johnson (NYG),2020,14,1,19,13,13,6,1,0,2,1,0,0,1,0,0,0,0
106,N'Keal Harry (FA),2020,14,2,22,15,15,8,2,0,4,2,0,1,1,0,0,0,0
107,DaeSean Hamilton (FA),2020,16,1,18,12,12,6,2,0,3,2,0,0,1,0,0,0,0
108,Denzel Mims (NYJ),2020,9,3,40,28,28,12,4,1,5,3,0,0,2,1,0,0,0
109,Julian Edelman (FA),2020,6,4,53,42,42,11,1,0,7,4,0,1,2,1,0,0,0
110,Adam Humphries (FA),2020,7,3,33,27,27,6,1,0,5,3,0,1,1,0,0,0,0
111,Cedrick Wilson Jr. (MIA),2020,16,1,12,5,5,7,2,0,2,1,0,0,0,0,0,0,0
112,Andy Isabella (BAL),2020,13,2,17,11,11,6,2,0,3,2,0,0,1,0,0,0,0
113,Olamide Zaccheaus (PHI),2020,11,2,25,19,19,6,2,0,3,2,0,0,1,0,0,0,0
114,Devin Duvernay (BAL),2020,16,1,13,5,5,7,2,0,2,1,0,0,0,0,0,0,0
115,DeSean Jackson (FA),2020,5,3,47,34,34,13,1,0,5,3,0,0,1,1,0,0,0
116,Steven Sims Jr. (HOU),2020,12,2,22,12,12,11,2,0,3,2,0,0,1,0,0,0,0
117,Chad Beebe (FA),2020,14,1,14,9,9,5,2,0,2,2,0,0,1,0,0,0,0
118,Chad Hansen (FA),2020,5,3,47,40,40,7,3,0,5,4,0,0,2,1,0,0,0
119,Tyler Johnson (FA),2020,14,1,12,7,7,5,1,0,1,1,0,0,1,0,0,0,0
120,Dontrelle Inman (FA),2020,10,2,16,12,12,4,1,0,3,2,0,0,1,0,0,0,0
121,Byron Pringle (FA),2020,12,1,13,8,8,6,3,0,1,1,0,0,1,0,0,0,0
122,Van Jefferson (LAR),2020,16,1,14,11,11,3,1,0,2,1,0,0,1,0,0,0,0
123,Freddie Swain (MIA),2020,16,1,10,4,4,6,1,0,1,1,0,0,0,0,0,0,0
124,Deonte Harty (BUF),2020,9,2,21,6,6,15,8,0,3,2,0,0,1,0,0,0,0
125,Isaiah Ford (FA),2020,10,3,28,20,20,7,3,0,4,3,0,0,1,0,0,0,0
126,Mohamed Sanu Sr. (FA),2020,10,2,19,15,15,4,0,0,2,2,0,0,1,0,0,0,0
127,Lynn Bowden Jr. (FA),2020,10,3,21,10,10,11,6,1,4,3,0,0,1,0,0,0,0
128,Marcus Johnson (FA),2020,11,1,23,19,19,4,1,0,3,2,0,0,1,1,0,0,0
129,Bryan Edwards (NO),2020,12,1,16,9,9,7,3,0,1,1,0,0,1,0,0,0,0
130,Zay Jones (JAC),2020,16,1,10,6,6,4,2,0,1,1,0,0,0,0,0,0,0
131,Mack Hollins (ATL),2020,16,1,11,9,9,2,0,0,2,1,0,0,0,0,0,0,0
132,Marquez Callaway (DEN),2020,11,2,19,14,14,5,2,0,2,2,0,0,1,0,0,0,0
133,Bisi Johnson (FA),2020,16,1,12,8,8,4,2,0,1,1,0,0,1,0,0,0,0
