Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
1,Justin Jefferson (MIN),2022,17,8,106,70,70,37,8,0,11,8,0,2,4,2,1,0,0
2,Davante Adams (LV),2022,17,6,89,60,60,29,6,1,11,6,0,1,4,1,1,0,0
3,Tyreek Hill (MIA),2022,17,7,101,72,72,28,3,0,10,7,0,1,4,1,1,0,0
4,A.J. Brown (PHI),2022,17,5,88,56,56,32,11,0,9,6,0,1,3,1,1,0,0
5,Stefon Diggs (BUF),2022,17,6,86,60,60,25,6,0,9,7,0,1,3,1,1,0,0
6,CeeDee Lamb (DAL),2022,17,6,80,51,51,29,9,1,9,7,0,1,4,1,0,0,0
7,Jaylen Waddle (MIA),2022,17,4,80,50,50,30,9,0,7,5,0,0,3,1,1,0,0
8,Amari Cooper (CLE),2022,17,5,68,49,49,19,5,0,8,5,1,1,3,1,0,0,0
9,Amon-Ra St. Brown (DET),2022,16,7,73,40,40,33,6,0,9,7,0,1,4,1,0,0,0
10,DeVonta Smith (PHI),2022,17,6,70,42,42,29,6,0,8,6,0,1,3,1,0,0,0
11,Christian Kirk (JAC),2022,17,5,65,43,43,22,4,0,8,5,0,1,3,1,0,0,0
12,Ja'Marr Chase (CIN),2022,13,7,80,47,47,34,11,1,10,8,1,2,3,1,0,0,0
13,Tyler Lockett (SEA),2022,16,5,65,47,47,17,1,0,7,5,0,1,3,1,1,0,0
14,Terry McLaurin (WAS),2022,17,5,70,47,47,23,8,0,7,5,0,1,3,1,1,0,0
15,Brandon Aiyuk (SF),2022,17,5,60,37,37,23,6,0,7,5,0,1,3,1,0,0,0
16,Mike Evans (TB),2022,15,5,75,61,61,14,4,0,8,5,0,1,3,1,0,0,0
17,Tee Higgins (CIN),2022,15,5,69,50,50,19,7,0,7,5,1,1,3,1,0,0,0
18,Jerry Jeudy (DEN),2022,15,4,65,38,38,26,7,0,7,5,0,1,2,1,1,0,0
19,DK Metcalf (SEA),2022,17,5,62,49,49,13,4,0,8,6,0,2,3,1,0,0,0
20,DJ Moore (CHI),2022,17,4,52,42,42,11,3,0,7,4,0,1,2,1,0,0,0
21,Garrett Wilson (NYJ),2022,17,5,65,43,43,22,11,1,9,5,0,1,3,1,0,0,0
22,Cooper Kupp (LAR),2022,9,8,90,43,43,47,12,0,11,9,0,1,3,1,0,0,0
23,Chris Olave (NO),2022,15,5,69,55,55,14,4,0,8,5,0,1,3,1,0,0,0
24,Gabe Davis (BUF),2022,15,3,56,46,46,10,1,0,6,4,1,1,2,1,0,0,0
25,Christian Watson (GB),2022,14,3,44,24,24,20,3,0,5,3,0,1,2,1,0,0,0
26,Chris Godwin (TB),2022,15,7,68,33,33,35,9,0,9,7,0,1,3,1,0,0,0
27,Michael Pittman Jr. (IND),2022,16,6,58,36,36,22,7,0,9,7,0,1,3,1,0,0,0
28,Tyler Boyd (CIN),2022,17,3,46,31,31,15,5,0,5,4,0,1,2,1,0,0,0
29,Zay Jones (JAC),2022,16,5,51,34,34,18,4,0,8,6,1,1,2,0,0,0,0
30,Allen Lazard (NYJ),2022,15,4,53,36,36,17,4,0,7,5,0,1,2,1,0,0,0
31,George Pickens (PIT),2022,17,3,47,41,41,6,3,0,5,3,0,0,2,1,0,0,0
32,Mike Williams (LAC),2022,13,5,69,43,43,26,4,0,7,5,0,1,3,1,0,0,0
33,Jakobi Meyers (LV),2022,14,5,57,41,41,17,2,0,7,5,0,1,2,1,0,0,0
34,Deebo Samuel (SF),2022,13,4,49,11,11,38,14,1,7,5,1,1,2,1,0,0,0
35,Curtis Samuel (WAS),2022,17,4,39,21,21,17,4,0,5,4,0,1,2,1,0,0,0
36,Adam Thielen (CAR),2022,17,4,42,33,33,9,2,0,6,4,0,1,2,0,0,0,0
37,JuJu Smith-Schuster (NE),2022,16,5,58,27,27,31,8,0,6,5,0,1,2,1,0,0,0
38,Drake London (ATL),2022,17,4,51,36,36,15,3,0,7,5,0,1,2,1,0,0,0
39,Donovan Peoples-Jones (CLE),2022,17,4,49,38,38,11,2,0,6,4,0,1,2,1,0,0,0
40,Keenan Allen (LAC),2022,10,7,75,49,49,26,5,0,9,7,0,2,3,1,1,0,0
41,Joshua Palmer (LAC),2022,16,5,48,32,32,16,3,0,7,5,0,1,2,0,0,0,0
42,Mack Hollins (ATL),2022,17,3,41,29,29,12,2,0,6,4,0,1,1,1,0,0,0
43,Jahan Dotson (WAS),2022,12,3,44,32,32,11,4,0,5,3,1,1,2,1,0,0,0
44,K.J. Osborn (MIN),2022,17,4,38,21,21,18,4,0,5,4,0,1,1,0,0,0,0
45,Courtland Sutton (DEN),2022,15,4,55,45,45,10,2,0,7,5,1,1,2,1,0,0,0
46,Diontae Johnson (PIT),2022,17,5,52,38,38,14,4,0,9,6,0,1,2,0,0,0,0
47,Marquise Brown (ARI),2022,12,6,59,39,39,20,3,0,9,6,0,1,3,1,0,0,0
48,Brandin Cooks (DAL),2022,13,4,54,38,38,16,1,0,7,5,0,1,2,1,0,0,0
49,DeAndre Hopkins (ARI),2022,9,7,80,61,61,18,6,0,11,8,1,1,3,1,0,0,0
50,Parris Campbell (NYG),2022,17,4,37,20,20,16,3,0,5,4,0,1,1,0,0,0,0
51,Darius Slayton (NYG),2022,13,4,56,36,36,20,7,0,5,4,1,0,2,1,1,0,0
52,Marquez Valdes-Scantling (KC),2022,17,2,40,32,32,9,2,0,5,3,0,1,2,1,0,0,0
