Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
1,Michael Thomas (NO),2019,16,9,108,71,71,36,10,0,12,10,0,1,5,1,0,0,0
2,Chris Godwin (TB),2019,14,6,95,54,54,41,20,1,9,6,0,1,4,2,1,0,0
3,Kenny Golladay (FA),2019,16,4,74,55,55,19,4,0,7,4,0,1,3,1,1,0,0
4,Cooper Kupp (LAR),2019,16,6,73,39,39,34,10,1,8,6,0,1,3,1,0,0,0
5,Julio Jones (FA),2019,15,7,93,69,69,24,9,0,10,7,0,1,4,1,1,0,0
6,DeVante Parker (NE),2019,16,5,75,59,59,16,6,0,8,5,0,1,3,1,1,0,0
7,Amari Cooper (CLE),2019,16,5,74,57,57,17,5,0,7,5,0,1,3,1,0,0,0
8,Mike Evans (TB),2019,13,5,89,69,69,20,8,0,9,6,1,1,4,1,1,1,0
9,DeAndre Hopkins (ARI),2019,15,7,78,52,52,26,10,1,10,7,0,1,3,1,0,0,0
10,A.J. Brown (PHI),2019,16,3,66,37,37,29,16,1,5,3,0,1,2,1,1,1,0
11,Keenan Allen (LAC),2019,16,7,75,52,52,23,7,0,9,7,0,1,3,1,0,0,0
12,Allen Robinson II (PIT),2019,16,6,72,55,55,17,5,0,10,7,0,1,3,1,0,0,0
13,Julian Edelman (FA),2019,16,6,70,50,50,20,5,0,10,7,1,1,3,1,0,0,0
14,Jarvis Landry (FA),2019,16,5,73,46,46,27,12,0,9,6,0,1,3,1,0,0,0
15,Tyler Lockett (SEA),2019,16,5,66,47,47,19,4,0,7,5,0,1,3,1,0,0,0
16,DJ Chark Jr. (CAR),2019,15,5,67,45,45,22,8,0,8,5,0,1,3,1,1,0,0
17,Courtland Sutton (DEN),2019,16,5,70,48,48,22,11,1,8,5,0,1,3,1,1,0,0
18,Stefon Diggs (BUF),2019,15,4,75,55,55,20,5,0,6,5,0,0,2,1,1,1,0
19,John Brown (FA),2019,15,5,71,57,57,14,6,0,8,5,0,1,3,1,0,0,0
20,Michael Gallup (DAL),2019,14,5,79,55,55,24,11,1,8,6,1,1,4,1,1,0,0
21,DJ Moore (CHI),2019,15,6,78,53,53,26,10,0,9,6,0,1,3,1,1,0,0
22,Robert Woods (HOU),2019,15,6,76,37,37,38,7,0,9,6,0,1,4,1,0,0,0
23,Calvin Ridley (JAC),2019,13,5,67,56,56,11,3,0,7,5,0,1,3,1,0,0,0
24,Terry McLaurin (WAS),2019,14,4,66,50,50,16,8,0,7,5,0,1,3,1,0,0,0
25,Tyler Boyd (CIN),2019,16,6,65,39,39,26,7,0,9,6,0,1,3,1,0,0,0
26,Deebo Samuel (SF),2019,15,4,53,22,22,32,11,0,5,4,1,1,2,1,0,0,0
27,Marvin Jones Jr. (DET),2019,13,5,60,52,52,8,6,0,7,5,0,1,3,1,0,0,0
28,Tyreek Hill (MIA),2019,12,5,72,49,49,23,6,0,7,5,0,1,3,1,1,1,0
29,Davante Adams (LV),2019,12,7,83,51,51,32,7,0,11,8,1,2,3,1,1,0,0
30,DK Metcalf (SEA),2019,16,4,56,39,39,17,5,0,6,4,0,1,2,1,0,0,0
31,Odell Beckham Jr. (BAL),2019,16,5,65,44,44,20,3,0,8,5,0,1,2,1,1,0,0
32,Emmanuel Sanders (FA),2019,17,4,51,37,37,14,3,0,6,4,0,1,2,1,0,0,0
33,Darius Slayton (NYG),2019,14,3,53,39,39,14,5,0,6,4,0,0,2,1,1,0,0
34,Jamison Crowder (NYG),2019,16,5,52,30,30,22,7,0,8,6,1,1,2,1,0,0,0
35,Cole Beasley (FA),2019,15,4,52,30,30,22,5,0,7,5,0,1,2,1,0,0,0
36,Curtis Samuel (WAS),2019,16,3,39,30,30,10,3,0,7,4,0,1,2,1,0,0,0
37,Mike Williams (LAC),2019,15,3,67,54,54,12,5,0,6,4,0,1,3,1,1,1,0
38,Chosen Anderson (MIA),2019,16,3,49,37,37,12,3,0,6,4,0,0,2,1,0,0,0
39,Chris Conley (SF),2019,16,3,48,33,33,16,8,0,6,4,0,0,2,1,0,0,0
40,Diontae Johnson (PIT),2019,16,4,43,23,23,19,6,1,6,4,0,0,2,0,0,0,0
41,Golden Tate (FA),2019,11,4,61,36,36,26,13,0,8,5,0,1,2,1,0,0,0
42,Larry Fitzgerald (FA),2019,16,5,50,29,29,21,7,0,7,5,0,1,2,1,0,0,0
43,Breshad Perriman (FA),2019,14,3,46,37,37,9,3,0,5,3,0,0,2,1,1,0,0
44,Tyrell Williams (FA),2019,14,3,47,33,33,14,5,0,5,4,0,1,2,1,0,0,0
45,Marquise Brown (ARI),2019,14,3,42,26,26,16,4,0,5,4,0,1,1,1,0,0,0
46,Christian Kirk (JAC),2019,13,5,55,33,33,22,5,0,8,6,0,1,2,0,0,0,0
