,Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
589,188,Lawrence Cager (NYG),2020,2,1,18,11,11,7,0,0,3,1,0,1,1,0,0,0,0
590,189,Seth Roberts (FA),2020,7,1,4,1,1,3,1,0,1,1,0,0,0,0,0,0,0
591,190,Josh Malone (FA),2020,4,1,4,2,2,2,1,0,2,1,0,0,0,0,0,0,0
592,191,Darrius Shepherd (FA),2020,8,1,6,4,4,2,0,0,1,1,0,0,0,0,0,0,0
593,192,Antonio Gandy-Golden (FA),2020,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
594,193,Antonio Callaway (DAL),2020,5,0,4,3,3,1,0,0,1,0,0,0,0,0,0,0,0
595,194,Deontay Burnett (FA),2020,2,2,10,8,8,2,1,0,2,2,0,1,1,0,0,0,0
596,195,John Ross (KC),2020,3,1,6,5,5,1,1,0,2,1,0,0,0,0,0,0,0
597,196,Bennie Fowler III (FA),2020,5,0,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0
598,197,Tavon Austin (FA),2020,4,1,5,-6,-6,11,0,0,1,1,0,0,0,0,0,0,0
599,198,Andre Roberts (FA),2020,15,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
600,1,Michael Thomas (NO),2019,16,9,108,71,71,36,10,0,12,10,0,1,5,1,0,0,0
601,2,Chris Godwin (TB),2019,14,6,95,54,54,41,20,1,9,6,0,1,4,2,1,0,0
602,3,Kenny Golladay (FA),2019,16,4,74,55,55,19,4,0,7,4,0,1,3,1,1,0,0
603,4,Cooper Kupp (LAR),2019,16,6,73,39,39,34,10,1,8,6,0,1,3,1,0,0,0
604,5,Julio Jones (FA),2019,15,7,93,69,69,24,9,0,10,7,0,1,4,1,1,0,0
605,6,DeVante Parker (NE),2019,16,5,75,59,59,16,6,0,8,5,0,1,3,1,1,0,0
606,7,Amari Cooper (CLE),2019,16,5,74,57,57,17,5,0,7,5,0,1,3,1,0,0,0
607,8,Mike Evans (TB),2019,13,5,89,69,69,20,8,0,9,6,1,1,4,1,1,1,0
608,9,DeAndre Hopkins (ARI),2019,15,7,78,52,52,26,10,1,10,7,0,1,3,1,0,0,0
609,10,A.J. Brown (PHI),2019,16,3,66,37,37,29,16,1,5,3,0,1,2,1,1,1,0
610,11,Keenan Allen (LAC),2019,16,7,75,52,52,23,7,0,9,7,0,1,3,1,0,0,0
611,12,Allen Robinson II (PIT),2019,16,6,72,55,55,17,5,0,10,7,0,1,3,1,0,0,0
612,13,Julian Edelman (FA),2019,16,6,70,50,50,20,5,0,10,7,1,1,3,1,0,0,0
613,14,Jarvis Landry (FA),2019,16,5,73,46,46,27,12,0,9,6,0,1,3,1,0,0,0
614,15,Tyler Lockett (SEA),2019,16,5,66,47,47,19,4,0,7,5,0,1,3,1,0,0,0
615,16,DJ Chark Jr. (CAR),2019,15,5,67,45,45,22,8,0,8,5,0,1,3,1,1,0,0
616,17,Courtland Sutton (DEN),2019,16,5,70,48,48,22,11,1,8,5,0,1,3,1,1,0,0
617,18,Stefon Diggs (BUF),2019,15,4,75,55,55,20,5,0,6,5,0,0,2,1,1,1,0
618,19,John Brown (FA),2019,15,5,71,57,57,14,6,0,8,5,0,1,3,1,0,0,0
619,20,Michael Gallup (DAL),2019,14,5,79,55,55,24,11,1,8,6,1,1,4,1,1,0,0
