,Rank,Player,Year,G,REC,YDS,YBC,AIR,YAC,YACON,BRKTKL,TGT,CATCHABLE,DROP,RZ TGT,10+ YDS,20+ YDS,30+ YDS,40+ YDS,50+ YDS
773,174,Devin Funchess (FA),2019,1,3,32,26,26,6,5,0,5,5,1,1,1,0,0,0,0
774,175,C.J. Board (FA),2019,4,1,8,6,6,2,0,0,1,1,0,0,0,0,0,0,0
775,176,Johnny Holton (FA),2019,16,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
776,177,Travis Benjamin (FA),2019,5,1,6,2,2,4,0,0,3,2,0,0,1,0,0,0,0
777,178,Cody Core (FA),2019,16,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
778,179,Ryan Switzer (FA),2019,9,1,3,1,1,2,0,0,1,1,0,0,0,0,0,0,0
779,180,Andre Roberts (FA),2019,13,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
780,181,Russell Shepard (FA),2019,3,1,8,4,4,4,1,0,3,1,0,1,0,0,0,0,0
781,182,Michael Crabtree (FA),2019,3,1,7,6,6,2,0,0,2,1,0,0,0,0,0,0,0
782,183,Chris Moore (TEN),2019,14,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
783,184,Marqise Lee (FA),2019,6,1,3,2,2,1,1,0,1,1,0,0,0,0,0,0,0
784,185,Stanley Morgan Jr. (CIN),2019,11,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0
785,186,Donte Moncrief (FA),2019,8,1,2,2,2,0,0,0,2,1,1,0,0,0,0,0,0
786,187,Darius Jennings (FA),2019,8,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0
787,188,Diontae Spencer (NYJ),2019,16,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0
788,189,Robert Davis (FA),2019,6,0,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0
789,190,Bobo Wilson (FA),2019,6,1,6,5,5,1,0,0,2,1,0,0,1,0,0,0,0
790,191,Mike Thomas (BAL),2019,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
791,192,Gunner Olszewski (PIT),2019,8,0,4,2,2,2,0,0,1,0,0,0,0,0,0,0,0
792,193,Ryan Grant (FA),2019,2,2,7,5,5,3,1,0,5,2,0,1,0,0,0,0,0
793,194,Austin Carr (FA),2019,7,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
794,1,Tyreek Hill (MIA),2018,16,5,92,60,60,33,12,0,9,6,0,1,3,2,1,1,0
795,2,Antonio Brown (FA),2018,15,7,86,54,54,32,9,0,11,7,0,1,3,1,1,0,0
796,3,Davante Adams (LV),2018,15,7,92,61,61,32,6,0,11,8,0,1,4,1,1,0,0
797,4,DeAndre Hopkins (ARI),2018,16,7,98,74,74,24,5,0,10,8,0,1,4,1,1,0,0
798,5,Julio Jones (FA),2018,16,7,105,77,77,28,7,0,11,8,1,1,5,2,1,0,0
799,6,Mike Evans (TB),2018,16,5,95,77,77,18,4,0,9,6,0,0,4,2,1,0,0
800,7,Adam Thielen (CAR),2018,16,7,86,60,60,26,5,0,10,7,0,1,4,1,0,0,0
801,8,Michael Thomas (NO),2018,16,8,88,56,56,32,11,0,9,8,0,1,3,1,1,0,0
802,9,JuJu Smith-Schuster (NE),2018,16,7,89,49,49,41,11,0,10,7,0,1,3,1,0,0,0
803,10,Robert Woods (HOU),2018,16,5,76,50,50,26,8,0,8,6,0,0,3,1,0,0,0
804,11,Tyler Lockett (SEA),2018,16,4,60,47,47,13,2,0,4,4,0,0,2,1,1,0,0
805,12,Stefon Diggs (BUF),2018,15,7,68,38,38,30,7,0,10,7,0,1,3,1,0,0,0
806,13,Brandin Cooks (DAL),2018,16,5,75,54,54,22,5,0,7,5,0,1,3,1,0,0,0
807,14,Keenan Allen (LAC),2018,16,6,75,50,50,25,7,0,9,6,0,1,4,1,0,0,0
808,15,T.Y. Hilton (FA),2018,14,5,91,58,58,33,7,0,9,6,0,1,3,2,1,0,0
809,16,Odell Beckham Jr. (BAL),2018,12,6,88,62,62,25,9,1,10,7,0,1,4,1,1,0,0
810,17,Tyler Boyd (CIN),2018,14,5,73,44,44,30,7,0,8,6,0,0,3,2,0,0,0
811,18,Calvin Ridley (JAC),2018,16,4,51,29,29,23,4,0,6,5,1,0,2,1,0,0,0
812,19,Amari Cooper (CLE),2018,15,5,67,39,39,28,7,0,7,5,0,0,3,1,0,0,0
813,20,Mike Williams (LAC),2018,16,3,42,34,34,7,3,0,4,3,0,0,2,1,0,0,0
814,21,Kenny Golladay (FA),2018,15,5,71,48,48,23,7,0,8,5,0,0,3,1,0,0,0
815,22,Jarvis Landry (FA),2018,16,5,61,44,44,17,4,0,9,6,1,1,2,1,0,0,0
816,23,Julian Edelman (FA),2018,12,6,71,42,42,29,7,0,9,7,1,1,3,1,0,0,0
817,24,Emmanuel Sanders (FA),2018,12,6,72,48,48,25,10,1,8,6,0,1,3,1,1,0,0
818,25,Chris Godwin (TB),2018,16,4,53,37,37,15,3,0,6,4,0,1,3,1,0,0,0
819,26,Alshon Jeffery (FA),2018,13,5,65,44,44,21,9,0,7,5,0,1,3,1,0,0,0
820,27,Corey Davis (NYJ),2018,16,4,56,39,39,17,7,0,7,5,0,0,3,1,0,0,0
821,28,Larry Fitzgerald (FA),2018,16,4,46,33,33,13,5,0,7,5,0,1,2,1,0,0,0
822,29,Sterling Shepard (NYG),2018,16,4,55,35,35,19,3,0,7,5,0,0,2,1,0,0,0
823,30,Mohamed Sanu Sr. (FA),2018,16,4,52,27,27,25,7,0,6,4,0,0,2,0,0,0,0
824,31,Adam Humphries (FA),2018,16,5,51,25,25,26,4,0,7,5,0,0,2,0,0,0,0
825,32,DeSean Jackson (FA),2018,12,3,65,49,49,15,3,0,6,4,0,0,2,1,1,0,0
826,33,Zay Jones (JAC),2018,16,4,41,32,32,9,3,0,6,4,0,1,2,0,0,0,0
827,34,Golden Tate (FA),2018,15,5,53,25,25,28,12,1,8,5,0,0,2,1,0,0,0
828,35,Dede Westbrook (FA),2018,16,4,45,22,22,23,8,0,6,5,0,0,2,1,0,0,0
829,36,Chosen Anderson (MIA),2018,14,4,54,41,41,13,2,0,7,4,0,1,2,1,0,0,0
830,37,A.J. Green (FA),2018,9,5,77,59,59,18,7,0,9,6,1,1,3,1,1,0,0
831,38,DJ Moore (CHI),2018,16,3,49,23,23,26,14,1,5,4,0,0,2,1,0,0,0
832,39,John Brown (FA),2018,16,3,45,35,35,10,3,0,6,3,0,0,2,1,0,0,0
833,40,Nelson Agholor (BAL),2018,16,4,46,24,24,22,5,0,6,4,0,0,1,1,1,0,0
834,41,Allen Robinson II (PIT),2018,13,4,58,41,41,17,11,0,7,5,0,0,2,1,1,0,0
835,42,Curtis Samuel (WAS),2018,13,3,38,29,29,9,3,0,5,3,0,1,2,0,0,0,0
836,43,Josh Gordon (FA),2018,12,3,61,39,39,22,16,1,6,4,0,0,3,1,0,0,0
837,44,Demaryius Thomas (FA),2018,15,4,45,27,27,18,6,0,6,4,0,0,2,1,0,0,0
838,45,Kenny Stills (FA),2018,15,2,37,28,28,9,4,0,4,3,0,0,2,0,0,0,0
839,46,Tyrell Williams (FA),2018,16,3,41,29,29,12,3,0,4,3,0,0,2,1,0,0,0
840,47,Cooper Kupp (LAR),2018,8,5,71,33,33,38,9,0,7,5,0,1,3,1,0,0,0
841,48,Courtland Sutton (DEN),2018,16,3,44,34,34,10,5,0,5,3,0,0,2,1,0,0,0
842,49,Jordy Nelson (FA),2018,15,4,49,33,33,16,4,0,6,4,0,0,2,0,0,0,0
843,50,Doug Baldwin (FA),2018,13,4,48,36,36,12,6,0,6,4,0,0,2,1,0,0,0
844,51,Antonio Callaway (DAL),2018,16,3,37,22,22,15,5,0,5,3,0,0,1,1,0,0,0
845,52,Anthony Miller (PIT),2018,15,2,28,17,17,11,3,0,4,3,0,0,1,0,0,0,0
846,53,Cole Beasley (FA),2018,16,4,42,29,29,13,3,0,5,4,0,0,2,0,0,0,0
847,54,Taylor Gabriel (FA),2018,16,4,43,29,29,14,3,0,6,4,0,0,2,0,0,0,0
848,55,Donte Moncrief (FA),2018,16,3,42,26,26,16,5,0,6,3,0,0,2,0,0,0,0
849,56,Marvin Jones Jr. (DET),2018,9,4,56,45,45,11,5,0,7,4,0,0,3,1,0,0,0
850,57,Christian Kirk (JAC),2018,12,4,49,30,30,19,7,0,6,4,0,0,1,1,1,0,0
851,58,Rashard Higgins (FA),2018,13,3,44,33,33,11,4,0,4,3,0,0,2,1,0,0,0
852,59,Devin Funchess (FA),2018,14,3,39,34,34,5,1,0,6,4,1,1,2,1,0,0,0
853,60,Michael Crabtree (FA),2018,16,3,38,30,30,8,3,0,6,4,1,0,2,0,0,0,0
854,61,Dante Pettis (CHI),2018,12,2,39,22,22,17,7,0,4,2,0,0,1,1,0,0,0
855,62,Sammy Watkins (FA),2018,10,4,52,28,28,24,8,0,6,4,0,1,2,1,0,0,0
856,63,David Moore (TB),2018,16,2,28,22,22,6,2,0,3,2,0,0,1,1,0,0,0
857,64,William Fuller V (FA),2018,7,5,72,48,48,24,4,0,6,5,0,0,3,1,1,0,0
858,65,Marquez Valdes-Scantling (KC),2018,16,2,36,23,23,13,3,0,5,3,0,0,1,1,0,0,0
859,66,Kendrick Bourne (NE),2018,16,3,30,21,21,9,3,0,4,3,0,1,2,0,0,0,0
860,67,Tre'Quan Smith (NO),2018,15,2,28,21,21,8,1,0,3,2,0,1,1,0,0,0,0
861,68,Willie Snead IV (SF),2018,16,4,41,23,23,18,6,1,6,4,0,0,2,0,0,0,0
862,69,Robert Foster (FA),2018,13,2,42,29,29,13,3,0,3,2,0,0,1,1,0,0,0
863,70,Chris Hogan (FA),2018,16,2,33,21,21,12,2,0,3,2,0,0,1,1,0,0,0
864,71,Josh Reynolds (DET),2018,16,2,25,17,17,8,2,0,3,2,0,0,1,0,0,0,0
865,72,Albert Wilson (FA),2018,7,4,56,8,8,48,36,0,5,4,0,0,1,1,0,0,0
866,73,Danny Amendola (FA),2018,15,4,38,23,23,15,3,0,5,4,0,0,1,0,0,0,0
867,74,Josh Doctson (FA),2018,15,3,35,27,27,9,2,0,5,3,0,0,2,0,0,0,0
868,75,Michael Gallup (DAL),2018,16,2,32,21,21,11,2,0,4,2,0,0,1,1,0,0,0
869,76,Marquise Goodwin (CLE),2018,11,2,36,24,24,11,1,0,4,2,0,0,1,0,0,0,0
870,77,Chester Rogers (FA),2018,16,3,30,14,14,16,3,0,5,4,0,0,1,0,0,0,0
871,78,John Ross (KC),2018,13,2,16,12,12,5,2,0,4,2,1,0,1,0,0,0,0
872,79,Seth Roberts (FA),2018,15,3,33,19,19,14,4,0,4,3,0,0,1,0,0,0,0
873,80,Chris Conley (SF),2018,16,2,21,12,12,9,3,0,3,2,0,0,1,0,0,0,0
874,81,Jarius Wright (FA),2018,16,3,28,16,16,12,4,0,4,3,0,0,1,1,0,0,0
875,82,Jamison Crowder (NYG),2018,9,3,43,20,20,23,10,0,5,4,0,0,2,0,0,0,0
876,83,Aldrick Robinson (FA),2018,14,1,17,14,14,3,0,0,3,1,0,0,1,0,0,0,0
877,84,Demarcus Robinson (FA),2018,16,1,18,11,11,7,1,0,2,1,0,0,0,0,0,0,0
878,85,Keelan Cole Sr. (LV),2018,16,2,31,22,22,9,2,0,4,3,0,0,1,0,0,0,0
879,86,Taywan Taylor (FA),2018,13,3,36,23,23,12,4,0,4,3,0,0,1,0,0,0,0
880,87,Phillip Dorsett II (LV),2018,16,2,18,12,12,6,2,0,3,2,0,0,1,0,0,0,0
881,88,Quincy Enunwa (FA),2018,11,3,41,16,16,25,11,0,6,4,0,0,2,1,0,0,0
882,89,Dontrelle Inman (FA),2018,9,3,34,27,27,6,2,0,4,3,0,1,1,0,0,0,0
883,90,Randall Cobb (NYJ),2018,9,4,43,17,17,26,4,0,7,5,0,0,1,0,0,0,0
884,91,Jaron Brown (FA),2018,16,1,10,8,8,3,1,0,1,1,0,0,0,0,0,0,0
885,92,Breshad Perriman (FA),2018,10,2,34,27,27,8,3,0,3,2,0,0,1,0,0,0,0
886,93,Tajae Sharpe (FA),2018,16,2,20,15,15,5,1,0,3,2,0,0,1,0,0,0,0
887,94,Kelvin Benjamin (FA),2018,15,2,25,21,21,4,1,0,4,2,0,0,1,0,0,0,0
888,95,Jermaine Kearse (FA),2018,14,3,27,18,18,9,4,0,5,3,0,0,1,0,0,0,0
889,96,Geronimo Allison (FA),2018,5,4,61,39,39,21,6,0,6,5,1,0,2,1,0,0,0
890,97,Jordan Matthews (FA),2018,14,1,21,16,16,6,2,0,2,2,0,0,1,0,0,0,0
891,98,Allen Hurns (FA),2018,16,1,18,14,14,5,2,0,2,1,0,0,1,0,0,0,0
892,99,Zach Pascal (ARI),2018,16,2,17,12,12,5,1,0,3,2,0,0,1,0,0,0,0
893,100,Ryan Grant (FA),2018,14,3,24,17,17,7,2,0,4,3,0,0,1,0,0,0,0
894,101,Jakeem Grant Sr. (CLE),2018,10,2,27,13,13,14,4,0,3,2,0,0,1,0,0,0,0
895,102,Paul Richardson Jr. (FA),2018,7,3,37,31,31,7,1,0,5,3,0,0,1,1,0,0,0
896,103,Tim Patrick (DEN),2018,16,1,20,13,13,7,2,0,3,2,0,0,1,0,0,0,0
897,104,Terrelle Pryor Sr. (FA),2018,8,2,32,24,24,8,2,0,4,2,0,0,1,1,0,0,0
898,105,DeVante Parker (NE),2018,11,2,28,20,20,9,3,0,4,2,0,0,1,0,0,0,0
899,106,DaeSean Hamilton (FA),2018,14,2,17,13,13,4,1,0,3,2,0,0,1,0,0,0,0
900,107,Laquon Treadwell (FA),2018,15,2,20,12,12,8,4,0,4,3,0,0,1,0,0,0,0
901,108,Ted Ginn Jr. (FA),2018,5,3,42,32,32,10,2,0,6,4,0,0,2,1,0,0,0
902,109,Keke Coutee (FA),2018,6,5,48,13,13,35,6,0,7,5,1,0,2,0,0,0,0
903,110,Pierre Garcon (FA),2018,8,3,36,24,24,12,2,0,6,3,0,0,2,1,0,0,0
904,111,Isaiah McKenzie (IND),2018,8,2,22,13,13,10,5,0,4,2,0,0,1,0,0,0,0
905,112,Ryan Switzer (FA),2018,16,2,16,7,7,9,1,0,3,2,0,0,1,0,0,0,0
906,113,Equanimeous St. Brown (CHI),2018,12,2,27,17,17,10,3,0,3,2,0,0,1,0,0,0,0
907,114,Torrey Smith (FA),2018,11,2,17,13,13,4,3,0,3,2,0,0,1,0,0,0,0
908,115,Keith Kirkwood (NO),2018,8,2,26,20,20,6,3,0,3,2,0,0,1,1,0,0,0
909,116,Tavon Austin (FA),2018,7,1,20,15,15,5,0,0,2,1,0,0,1,0,0,0,0
910,117,Maurice Harris (FA),2018,12,2,25,17,17,8,1,0,4,2,0,0,1,0,0,0,0
911,118,T.J. Jones (FA),2018,15,1,13,10,10,2,1,0,2,1,0,0,1,0,0,0,0
912,119,Russell Shepard (FA),2018,12,1,16,14,14,1,0,0,2,1,0,0,1,0,0,0,0
913,120,Trent Taylor (CIN),2018,14,2,15,8,8,7,1,0,3,2,0,0,1,0,0,0,0
914,121,Travis Benjamin (FA),2018,12,1,16,10,10,5,1,0,2,1,0,0,1,0,0,0,0
915,122,Bruce Ellington (FA),2018,7,4,32,17,17,15,2,0,6,5,1,0,2,0,0,0,0
916,123,James Washington (NO),2018,14,1,16,12,12,4,2,0,3,1,0,0,1,0,0,0,0
917,124,Chris Moore (TEN),2018,16,1,12,8,8,4,1,0,2,1,0,0,1,0,0,0,0
918,125,Trent Sherfield (BUF),2018,13,1,16,13,13,3,1,0,2,2,0,0,1,0,0,0,0
919,126,Martavis Bryant (FA),2018,8,2,33,17,17,16,6,1,3,3,0,0,1,1,0,0,0
920,127,Bennie Fowler III (FA),2018,10,2,20,12,12,8,3,0,3,2,0,0,1,0,0,0,0
921,128,Brandon LaFell (FA),2018,6,2,23,14,14,9,1,0,3,2,0,0,1,0,0,0,0
922,129,Justin Hardy (FA),2018,16,1,8,4,4,4,0,0,1,1,0,0,0,0,0,0,0
923,130,Cody Latimer (FA),2018,6,2,32,28,28,4,1,0,3,2,0,0,1,1,1,0,0
924,131,Chad Williams (FA),2018,10,2,17,16,16,2,0,0,5,2,0,0,1,0,0,0,0
925,132,Cody Core (FA),2018,14,1,11,9,9,3,1,0,2,1,0,0,0,0,0,0,0
926,133,Austin Carr (FA),2018,14,1,7,5,5,2,0,0,1,1,0,0,0,0,0,0,0
927,134,Marcell Ateman (FA),2018,7,2,22,18,18,4,1,0,4,3,0,0,1,0,0,0,0
928,135,Marvin Hall (FA),2018,16,1,9,6,6,4,0,0,1,1,0,0,0,0,0,0,0
929,136,DeAndre Carter (LV),2018,14,2,15,5,5,11,2,0,2,2,0,0,1,0,0,0,0
930,137,Josh Bellamy (FA),2018,16,1,7,4,4,3,1,0,2,1,0,0,0,0,0,0,0
931,138,Brandon Marshall (FA),2018,7,2,19,16,16,3,2,0,3,2,0,0,1,0,0,0,0
932,139,Michael Floyd (FA),2018,13,1,8,5,5,2,1,0,2,1,0,0,0,0,0,0,0
933,140,Richie James Jr. (KC),2018,13,1,10,2,2,8,1,0,1,1,0,0,0,0,0,0,0
934,141,Alex Erickson (FA),2018,16,1,10,6,6,5,1,0,2,1,0,0,1,0,0,0,0
935,142,Leonte Carroo (FA),2018,9,0,10,6,6,4,0,0,0,0,0,0,0,0,0,0,0
936,143,Jake Kumerow (FA),2018,5,2,21,16,16,5,0,0,2,2,0,0,1,0,0,0,0
937,144,Andre Holmes (FA),2018,15,1,11,7,7,3,2,0,2,1,0,0,0,0,0,0,0
938,145,Deonte Thompson (FA),2018,13,1,12,9,9,3,1,0,2,1,0,0,1,0,0,0,0
939,146,Marcus Johnson (FA),2018,5,1,20,15,15,6,2,0,2,1,0,0,1,0,0,0,0
940,147,DJ Chark Jr. (CAR),2018,11,1,16,12,12,4,1,0,3,1,0,0,1,0,0,0,0
941,148,Cameron Meredith (FA),2018,6,2,19,13,13,6,1,0,2,2,0,0,1,0,0,0,0
942,149,Vyncint Smith (IND),2018,7,1,13,12,12,1,0,0,1,1,0,0,1,0,0,0,0
943,150,Damion Ratley (FA),2018,13,1,11,7,7,4,1,0,2,1,0,0,0,0,0,0,0
944,151,Deontay Burnett (FA),2018,5,2,29,24,24,5,1,0,3,2,0,0,1,1,0,0,0
945,152,Andy Jones (FA),2018,8,1,10,7,7,3,1,0,3,2,0,0,0,0,0,0,0
946,153,Andre Roberts (FA),2018,16,1,5,4,4,1,0,0,1,1,0,0,0,0,0,0,0
947,154,Trey Quinn (FA),2018,3,3,25,19,19,6,0,0,3,3,0,0,2,0,0,0,0
948,155,Brandon Powell (MIN),2018,6,2,22,2,2,19,5,0,3,2,0,0,1,0,0,0,0
949,156,Brice Butler (FA),2018,8,1,8,7,7,0,0,0,1,1,0,0,0,0,0,0,0
950,157,Darius Jennings (FA),2018,16,1,6,4,4,2,1,0,1,1,0,0,0,0,0,0,0
951,158,Tommylee Lewis (FA),2018,7,0,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0
952,159,De'Anthony Thomas (FA),2018,5,1,6,0,0,6,1,0,1,1,0,0,0,0,0,0,0
953,160,Eli Rogers (FA),2018,3,4,26,13,13,13,4,0,5,4,0,0,1,0,0,0,0
954,161,Kevin White (FA),2018,9,0,10,10,10,1,0,0,1,0,0,0,0,0,0,0,0
955,162,Cameron Batson (FA),2018,11,1,7,3,3,5,1,0,1,1,0,0,0,0,0,0,0
956,163,Corey Coleman (FA),2018,8,1,9,8,8,1,1,0,1,1,0,0,0,0,0,0,0
957,164,J.J. Nelson (FA),2018,14,1,5,3,3,2,0,0,1,1,0,0,0,0,0,0,0
958,165,Russell Gage (TB),2018,15,0,4,3,3,1,0,0,1,1,0,0,0,0,0,0,0
959,166,Derrick Willies (FA),2018,5,1,12,6,6,6,6,0,1,1,0,0,0,0,0,0,0
960,167,Noah Brown (HOU),2018,8,1,7,4,4,3,1,0,1,1,0,0,0,0,0,0,0
961,168,Kamar Aiken (FA),2018,5,1,11,8,8,2,1,0,1,1,0,0,1,0,0,0,0
962,169,Dwayne Harris (FA),2018,15,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0
963,170,Bobo Wilson (FA),2018,5,1,10,6,6,4,0,0,1,1,0,0,0,0,0,0,0
964,171,Jawill Davis (FA),2018,7,1,6,5,5,1,0,0,1,1,0,0,0,0,0,0,0
965,172,Rashad Greene (FA),2018,8,1,8,6,6,2,1,0,1,1,0,0,1,0,0,0,0
966,173,Chad Beebe (FA),2018,3,1,13,9,9,4,0,0,1,1,0,0,1,0,0,0,0
967,174,Jalen Tolliver (FA),2018,3,1,12,8,8,5,2,0,2,1,0,0,1,0,0,0,0
968,175,Auden Tate (ARI),2018,7,1,5,5,5,0,0,0,2,1,0,0,0,0,0,0,0
969,176,Javon Wims (ARI),2018,4,1,8,8,8,1,1,0,1,1,0,0,0,0,0,0,0
970,177,Rishard Matthews (FA),2018,8,1,3,2,2,1,0,0,1,1,0,0,0,0,0,0,0
971,178,Justin Hunter (FA),2018,5,1,4,4,4,0,0,0,3,1,0,0,0,0,0,0,0
972,179,Ray-Ray McCloud III (SF),2018,10,1,4,1,1,3,1,0,1,1,0,0,0,0,0,0,0
973,180,Brian Quick (FA),2018,6,1,3,3,3,0,0,0,1,1,0,0,0,0,0,0,0
974,181,Nick Williams (FA),2018,4,1,4,3,3,1,1,0,1,1,0,0,0,0,0,0,0
975,182,Josh Malone (FA),2018,9,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
976,183,Victor Bolden Jr. (FA),2018,6,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0
977,184,Jeremy Kerley (FA),2018,1,2,7,-8,-8,15,2,0,4,3,1,0,0,0,0,0,0
